1,"Energy"
"1A","Fuel Combustion Activities"
"1A1","Energy Industries"
"1A1A","Main Activity Electricity and Heat Production"
"1A1AI","Electricity Generation"
"1A1AII","Combined Heat and Power Generation (CHP)"
"1A1AIII","Heat Plants"
"1A1B","Petroleum Refining"
"1A1C","Manufacture of Solid Fuels and Other Energy Industries"
"1A1CI","Manufacture of Solid Fuels"
"1A1CII","Other Energy Industries"
"1A2","Manufacturing Industries and Construction"
"1A2A","Iron and Steel"
"1A2B","Non-Ferrous Metals"
"1A2C","Chemicals"
"1A2D","Pulp, Paper and Print"
"1A2E","Food Processing, Beverages and Tobacco"
"1A2F","Non-Metallic Minerals"
"1A2G","Transport Equipment"
"1A2H","Machinery"
"1A2I","Mining (excluding fuels) and Quarrying"
"1A2J","Wood and Wood Products"
"1A2K","Construction"
"1A2L","Textile and Leather"
"1A2M","Non-specified Industry:"
"1A3","Transport Equipment"
"1A3A","Civil Aviation"
"1A3AI","International Aviation (International Bunkers)"
"1A3AII","Domestic Aviaton"
"1A3B","Road Transportation"
"1A3BI","Cars"
"1A3BI1","Passenger Cars With 3-way Catalysts"
"1A3BI2","Passenger Cars Without 3-way Catalysts"
"1A3BII","Light-duty Trucks"
"1A3BII1","Light-duty Trucks With 3-way Catalysts"
"1A3BII2","Light-duty Trucks Without 3-way Catalysts"
"1A3BIII","Heavy-duty Trucks and Buses"
"1A3BIV","Motorcycles"
"1A3BV","Evaporative Emissions from Vehicles"
"1A3BVI","Urea-based Catalysts"
"1A3C","Railways"
"1A3D","Water-borne Navigation"
"1A3DI","International Water-borne Navigation (International Bunkers)"
"1A3DII","Domestic Water-borne Navigation"
"1A3E","Other Transportation"
"1A3EI","Pipeline Transport"
"1A3EII","Off-road"
"1A4","Other Sectors"
"1A4A","Commercial/Institutional"
"1A4B","Residential"
"1A4C","Agriculture/Forestry/Fishing/Fish Farms"
"1A4CI","Stationary"
"1A4CII","Off-road Vehicles and Other Machinery"
"1A4CIII","Fishing (mobile combustion)"
"1A5","Non-Specified"
"1A5A","Stationary"
"1A5B","Mobile"
"1A5BI","Mobile (Aviation Component)"
